Gene.ID,Chr,start,end,strand,gene_length,type,detailed_type,symbol,annotation
AT1G34780,Chr1,12748571,12750506,-,1936,mRNA,mRNA,APRL4,APR-like 4
AT1G34844,Chr1,12751156,12752905,+,1750,lncRNA,intergenic,,Natural antisense transcript overlaps with AT1G34842
MSTRG.3376.1,Chr1,12758094,12758245,-,152,lncRNA,intergenic,NA,NA
AT1G34790,Chr1,12763902,12765686,+,1785,mRNA,mRNA,TT1,C2H2 and C2HC zinc fingers superfamily protein
AT1G34792,Chr1,12766263,12766651,-,389,mRNA,mRNA,,Plant thionin family protein
AT1G06797,Chr1,12767251,12767754,+,504,lncRNA,intergenic,,
AT1G34795,Chr1,12769644,12770131,-,488,mRNA,mRNA,,Plant thionin family protein
AT1G34797,Chr1,12771928,12772219,+,292,pseudogene,intergenic,,pseudogene
AT1G34800,Chr1,12773164,12773442,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34803,Chr1,12775342,12775633,+,292,pseudogene,intergenic,,pseudogene
AT1G34805,Chr1,12776578,12776856,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34807,Chr1,12777711,12778231,+,521,mRNA,mRNA,,hypothetical protein
AT1G34808,Chr1,12778756,12779047,+,292,pseudogene,intergenic,,pseudogene
AT1G34810,Chr1,12779992,12780270,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34812,Chr1,12781126,12781766,+,641,mRNA,mRNA,,hypothetical protein
AT1G34813,Chr1,12782171,12782462,+,292,pseudogene,intergenic,,pseudogene
AT1G34815,Chr1,12783406,12783684,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34817,Chr1,12784536,12785176,+,641,mRNA,mRNA,,hypothetical protein
AT1G34818,Chr1,12785581,12785872,+,292,pseudogene,intergenic,,pseudogene
AT1G34820,Chr1,12786817,12787095,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34822,Chr1,12787950,12788590,+,641,mRNA,mRNA,,hypothetical protein
AT1G34823,Chr1,12788995,12789286,+,292,pseudogene,intergenic,,pseudogene
AT1G34825,Chr1,12790122,12790605,-,484,mRNA,mRNA,,Plant thionin family protein
AT1G34827,Chr1,12791364,12791884,+,521,mRNA,mRNA,,hypothetical protein
AT1G34828,Chr1,12792409,12792700,+,292,pseudogene,intergenic,,pseudogene
AT1G34830,Chr1,12793536,12794023,-,488,mRNA,mRNA,,Plant thionin family protein
AT1G34836,Chr1,12795824,12796115,+,292,pseudogene,intergenic,,pseudogene
AT1G34840,Chr1,12796984,12797247,-,264,mRNA,mRNA,,Plant thionin family protein
AT1G34850,Chr1,12800308,12800571,-,264,mRNA,mRNA,,Plant thionin family protein
AT1G34855,Chr1,12801427,12802067,+,641,mRNA,mRNA,,hypothetical protein
AT1G34860,Chr1,12803708,12803986,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G34910,Chr1,12804834,12805334,+,501,mRNA,mRNA,,hypothetical protein
AT1G34930,Chr1,12807121,12807399,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G35030,Chr1,12808246,12809481,+,1236,mRNA,mRNA,,hypothetical protein
AT1G35035,Chr1,12811030,12811308,-,279,mRNA,mRNA,,Plant thionin family protein
AT1G35040,Chr1,12812157,12812569,+,413,mRNA,mRNA,,hypothetical protein
MSTRG.3378.1,Chr1,12840365,12841772,+,1408,lncRNA,intergenic,NA,NA
AT1G35140,Chr1,12851983,12853235,+,1253,mRNA,mRNA,PHI-1,Phosphate-responsive 1 family protein
MSTRG.3381.1,Chr1,12860743,12860851,+,109,lncRNA,intergenic,NA,NA
AT1G35150,Chr1,12864158,12866238,-,2081,mRNA,mRNA,,General transcription factor 2-related zinc finger protein
AT1G35160,Chr1,12867081,12868890,+,1810,mRNA,mRNA,GF14 PHI,GF14 protein phi chain
AT1G35170,Chr1,12870563,12872257,-,1695,mRNA,mRNA,,TRAM%2C LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
AT1G35180,Chr1,12877107,12878835,-,1729,mRNA,mRNA,,TRAM%2C LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
AT1G35181,Chr1,12879306,12879470,+,165,mRNA,mRNA,,transmembrane protein
AT1G35183,Chr1,12882654,12884762,+,2109,mRNA,mRNA,,zinc finger%2C C3HC4 type (RING finger) protein
AT1G06817,Chr1,12887309,12887610,+,302,lncRNA,intergenic,,
AT1G06823,Chr1,12887519,12887969,-,451,lncRNA,intergenic,,
AT1G35190,Chr1,12890404,12892955,+,2552,mRNA,mRNA,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G35200,Chr1,12893199,12894071,-,873,pseudogene,intergenic,,pseudogene
AT1G35210,Chr1,12896582,12897675,-,1094,mRNA,mRNA,,hypothetical protein
AT1G35215,Chr1,12902718,12906171,-,3454,mRNA,mRNA,,transmembrane protein
AT1G06827,Chr1,12907870,12908342,+,473,lncRNA,intergenic,,
AT1G35220,Chr1,12908848,12914858,+,6011,mRNA,mRNA,,FAM91 carboxy-terminus protein
AT1G35230,Chr1,12917070,12917829,+,760,mRNA,mRNA,AGP5,arabinogalactan protein 5
AT1G09205,Chr1,12921893,12922566,-,674,lncRNA,intergenic,,
AT1G06833,Chr1,12922838,12925030,-,2193,lncRNA,intergenic,,
AT1G06837,Chr1,12923005,12923585,+,581,lncRNA,intergenic,,
AT1G35240,Chr1,12927303,12930523,-,3221,mRNA,mRNA,ARF20,auxin response factor 20
AT1G35242,Chr1,12930980,12931555,+,576,mRNA,mRNA,,hypothetical protein
AT1G35250,Chr1,12932024,12934656,-,2633,mRNA,mRNA,,Thioesterase superfamily protein
AT1G35255,Chr1,12935647,12936586,-,940,mRNA,mRNA,,transmembrane protein
AT1G35260,Chr1,12936849,12937787,-,939,mRNA,mRNA,MLP165,MLP-like protein 165
AT1G06853,Chr1,12939071,12939354,-,284,lncRNA,intergenic,,
AT1G35270,Chr1,12939484,12941647,-,2164,pseudogene,intergenic,,pseudogene
AT1G35290,Chr1,12947517,12948849,-,1333,mRNA,mRNA,,Thioesterase superfamily protein
AT1G35310,Chr1,12956119,12957090,-,972,mRNA,mRNA,MLP168,MLP-like protein 168
MSTRG.3394.2,Chr1,12958673,12961350,-,2678,lncRNA,intragenic,NA,Overlaps with AT1G35320
AT1G35320,Chr1,12958841,12962853,-,4013,mRNA,mRNA,,transmembrane protein
AT1G35330,Chr1,12964986,12966113,+,1128,mRNA,mRNA,,RING/U-box superfamily protein
AT1G06857,Chr1,12972058,12972304,+,247,lncRNA,intergenic,,
AT1G06863,Chr1,12972132,12972468,-,337,lncRNA,intergenic,,
AT1G35340,Chr1,12977668,12979947,+,2280,mRNA,mRNA,,ATP-dependent protease La (LON) domain protein
AT1G35350,Chr1,12980689,12984740,-,4052,mRNA,mRNA,,EXS (ERD1/XPR1/SYG1) family protein
AT1G06867,Chr1,12986720,12987066,-,347,lncRNA,intergenic,,
AT1G35353,Chr1,12988649,12989373,+,725,mRNA,mRNA,,hypothetical protein
AT1G35365,Chr1,12991392,12992145,+,754,mRNA,mRNA,,hypothetical protein (DUF1184)
MSTRG.3397.1,Chr1,12993085,12993321,-,237,lncRNA,intergenic,NA,NA
AT1G06883,Chr1,12995687,12996713,-,1027,lncRNA,intergenic,,
AT1G35375,Chr1,13005673,13006187,-,515,mRNA,mRNA,,hypothetical protein
AT1G35400,Chr1,13018289,13019198,+,910,mRNA,mRNA,,hypothetical protein (DUF1184)
MSTRG.3399.1,Chr1,13021299,13021435,+,137,lncRNA,intergenic,NA,NA
AT1G35410,Chr1,13024161,13024941,+,781,mRNA,mRNA,,hypothetical protein (DUF1184)
AT1G35420,Chr1,13026206,13027691,+,1486,mRNA,mRNA,,alpha/beta-Hydrolases superfamily protein
MSTRG.3402.1,Chr1,13027960,13028167,+,208,lncRNA,intergenic,NA,NA
AT1G35430,Chr1,13030553,13031375,-,823,mRNA,mRNA,,transmembrane protein
AT1G35435,Chr1,13032806,13033280,-,475,mRNA,mRNA,,Putative membrane lipoprotein
AT1G35440,Chr1,13035294,13036037,-,744,mRNA,mRNA,CYCT1%3B1,cyclin T1%3B1
AT1G35450,Chr1,13037410,13038752,-,1343,pseudogene,intergenic,,pseudogene
AT1G35460,Chr1,13039660,13042159,+,2500,mRNA,mRNA,FBH1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G06897,Chr1,13042973,13043377,-,405,lncRNA,intergenic,,
AT1G35467,Chr1,13049114,13049437,+,324,mRNA,mRNA,RALFL5,RALF-like 5
AT1G35470,Chr1,13051157,13055093,-,3937,mRNA,mRNA,RanBPM,SPla/RYanodine receptor (SPRY) domain-containing protein
AT1G35490,Chr1,13061549,13063455,+,1907,mRNA,mRNA,,bZIP family transcription factor
MSTRG.3406.1,Chr1,13065301,13065822,-,522,lncRNA,intergenic,NA,NA
AT1G35500,Chr1,13066087,13066596,+,510,mRNA,mRNA,,hypothetical protein
AT1G35510,Chr1,13071165,13074984,+,3820,mRNA,mRNA,,O-fucosyltransferase family protein
AT1G35513,Chr1,13076664,13077590,+,927,pseudogene,intergenic,,pseudogene
MSTRG.3409.1,Chr1,13077760,13079773,+,2014,lncRNA,intragenic,NA,Overlaps with AT1G35516
AT1G35515,Chr1,13077890,13080265,+,2376,mRNA,mRNA,HOS10,high response to osmotic stress 10
AT1G35516,Chr1,13078416,13079773,+,1358,mRNA,mRNA,,myb-like transcription factor family protein
MSTRG.3409.5,Chr1,13078609,13079773,+,1165,lncRNA,intragenic,NA,Overlaps with AT1G35516
AT1G35520,Chr1,13082819,13085830,-,3012,mRNA,mRNA,ARF15,auxin response factor 15
AT1G35530,Chr1,13089816,13097286,+,7471,mRNA,mRNA,FANCM,DEAD/DEAH box RNA helicase family protein
AT1G35537,Chr1,13105130,13105596,-,467,mRNA,mRNA,,Defensin-like (DEFL) family protein
AT1G09215,Chr1,13105923,13106230,+,308,lncRNA,intergenic,,
AT1G06907,Chr1,13107634,13108236,-,603,lncRNA,intergenic,,
AT1G35540,Chr1,13108634,13111700,+,3067,mRNA,mRNA,ARF14,auxin response factor 14
AT1G35545,Chr1,13110517,13112832,-,2316,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G35550
AT1G35550,Chr1,13112506,13113136,+,631,mRNA,mRNA,,elongation factor Tu C-terminal domain-containing protein
AT1G35560,Chr1,13115824,13117235,-,1412,mRNA,mRNA,,TCP family transcription factor
MSTRG.3412.1,Chr1,13117251,13117375,-,125,lncRNA,intergenic,NA,NA
AT1G35580,Chr1,13122082,13125328,-,3247,mRNA,mRNA,CINV1,cytosolic invertase 1
AT1G35610,Chr1,13143061,13144988,-,1928,mRNA,mRNA,,Cysteine/Histidine-rich C1 domain family protein
MSTRG.3414.1,Chr1,13145519,13146925,+,1407,lncRNA,intergenic,NA,NA
MSTRG.3414.2,Chr1,13145519,13146925,+,1407,lncRNA,intergenic,NA,NA
AT1G35614,Chr1,13148592,13149559,+,968,mRNA,mRNA,,hypothetical protein
AT1G35617,Chr1,13153583,13153948,+,366,mRNA,mRNA,,hypothetical protein
AT1G06913,Chr1,13154301,13154647,-,347,lncRNA,intergenic,,
AT1G35620,Chr1,13156346,13158467,+,2122,mRNA,mRNA,PDIL5-2,PDI-like 5-2
AT1G35625,Chr1,13158466,13160284,-,1819,mRNA,mRNA,,RING/U-box superfamily protein
AT1G35630,Chr1,13162966,13164512,-,1547,mRNA,mRNA,,Protease-associated (PA) RING/U-box zinc finger family protein
AT1G06917,Chr1,13167733,13168082,+,350,lncRNA,intergenic,,
MSTRG.3415.1,Chr1,13179897,13180000,-,104,lncRNA,intergenic,NA,NA
AT1G35660,Chr1,13192608,13198142,+,5535,mRNA,mRNA,,erythroid differentiation factor-like protein
AT1G35670,Chr1,13205345,13208289,+,2945,mRNA,mRNA,CDPK2,calcium-dependent protein kinase 2
AT1G35680,Chr1,13208683,13210428,+,1746,mRNA,mRNA,RPL21C,Ribosomal protein L21
AT1G35700,Chr1,13216616,13217251,+,636,pseudogene,intergenic,,pseudogene
AT1G09225,Chr1,13218462,13219422,+,961,lncRNA,intergenic,,
AT1G35710,Chr1,13220471,13224681,+,4211,mRNA,mRNA,,kinase family with leucine-rich repeat domain-containing protein
MSTRG.3422.1,Chr1,13222584,13224477,-,1894,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G35710
AT1G35720,Chr1,13225168,13227239,+,2072,mRNA,mRNA,ANNAT1,annexin 1
AT1G35730,Chr1,13227137,13229931,-,2795,mRNA,mRNA,PUM9,pumilio 9
AT1G35740,Chr1,13242545,13244065,+,1521,pseudogene,intergenic,,pseudogene
AT1G06927,Chr1,13250536,13250970,+,435,lncRNA,intergenic,,
AT1G35750,Chr1,13253398,13255570,-,2173,mRNA,mRNA,PUM10,pumilio 10
AT1G35780,Chr1,13277259,13280387,-,3129,mRNA,mRNA,,N-lysine methyltransferase
AT1G09235,Chr1,13281163,13282042,-,880,lncRNA,intergenic,,
AT1G35820,Chr1,13308119,13309257,-,1139,mRNA,mRNA,,heat shock protein
AT1G06933,Chr1,13314707,13314965,+,259,lncRNA,intergenic,,
AT1G06937,Chr1,13320657,13320875,+,219,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G35830
AT1G35830,Chr1,13320675,13322511,-,1837,mRNA,mRNA,,VQ motif-containing protein
AT1G35850,Chr1,13330510,13331506,+,997,mRNA,mRNA,PUM17,pumilio 17
AT1G35860,Chr1,13332047,13334050,-,2004,mRNA,mRNA,TOC75-I,translocon outer membrane complex 75-I
AT1G35880,Chr1,13339804,13341228,-,1425,mRNA,mRNA,,hypothetical protein
AT1G35890,Chr1,13341300,13341953,+,654,mRNA,mRNA,,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G35895,Chr1,13346878,13354225,-,7348,mRNA,mRNA,,transmembrane protein
AT1G35910,Chr1,13362962,13365172,-,2211,mRNA,mRNA,TPPD,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
AT1G35980,Chr1,13406230,13407328,-,1099,pseudogene,intergenic,,pseudogene
AT1G36000,Chr1,13422554,13423028,+,475,mRNA,mRNA,LBD5,LOB domain-containing protein 5
AT1G36005,Chr1,13432418,13433062,+,645,mRNA,mRNA,,receptor-like kinase
AT1G36020,Chr1,13433919,13434340,-,422,mRNA,mRNA,,DEAD/DEAH-box RNA helicase family protein
AT1G06943,Chr1,13434824,13435127,+,304,lncRNA,intergenic,,
AT1G36030,Chr1,13436586,13436828,+,243,mRNA,mRNA,,F-box family protein
AT1G36050,Chr1,13450089,13453683,+,3595,mRNA,mRNA,,Endoplasmic reticulum vesicle transporter protein
AT1G36060,Chr1,13454496,13456336,-,1841,mRNA,mRNA,,Integrase-type DNA-binding superfamily protein
AT1G36070,Chr1,13466694,13470936,-,4243,mRNA,mRNA,,Transducin/WD40 repeat-like superfamily protein
AT1G06947,Chr1,13470980,13471202,+,223,lncRNA,intergenic,,
AT1G06953,Chr1,13471047,13471267,-,221,lncRNA,intergenic,,
AT1G06957,Chr1,13477922,13478204,+,283,lncRNA,intergenic,,
AT1G36078,Chr1,13481665,13482785,-,1121,mRNA,mRNA,,transmembrane protein
AT1G36085,Chr1,13486004,13486920,-,917,mRNA,mRNA,,mutator-like transposase
AT1G36095,Chr1,13491370,13492725,-,1356,mRNA,mRNA,,DNA binding protein
AT1G36100,Chr1,13494652,13495215,+,564,mRNA,mRNA,,myosin heavy chain-like protein
AT1G06963,Chr1,13501086,13502283,+,1198,lncRNA,intergenic,,
AT1G36150,Chr1,13528257,13529470,+,1214,mRNA,mRNA,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G36160,Chr1,13533168,13544015,+,10848,mRNA,mRNA,ACC1,acetyl-CoA carboxylase 1
MSTRG.3432.1,Chr1,13540142,13540342,-,201,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G36160
AT1G36180,Chr1,13545965,13558600,+,12636,mRNA,mRNA,ACC2,acetyl-CoA carboxylase 2
AT1G36220,Chr1,13601056,13601579,-,524,pseudogene,intergenic,,pseudogene
MSTRG.3433.1,Chr1,13602955,13603825,-,871,lncRNA,intergenic,NA,NA
AT1G36230,Chr1,13610985,13614051,-,3067,mRNA,mRNA,,hypothetical protein
AT1G36240,Chr1,13614890,13616233,+,1344,mRNA,mRNA,,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
AT1G36272,Chr1,13635336,13635521,-,186,mRNA,mRNA,,hypothetical protein
AT1G06967,Chr1,13635673,13636083,+,411,lncRNA,intergenic,,
AT1G36280,Chr1,13640508,13643126,+,2619,mRNA,mRNA,,L-Aspartase-like family protein
AT1G06973,Chr1,13657062,13657390,-,329,lncRNA,intergenic,,
AT1G36310,Chr1,13669425,13671203,+,1779,mRNA,mRNA,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G36320,Chr1,13671774,13674205,+,2432,mRNA,mRNA,,hypothetical protein
AT1G36325,Chr1,13681704,13683045,-,1342,mRNA,mRNA,,GCK domain protein
AT1G36340,Chr1,13683663,13685066,-,1404,mRNA,mRNA,UBC31,ubiquitin-conjugating enzyme 31
AT1G36350,Chr1,13686426,13686498,+,73,canonical ncRNA,tRNA,,
AT1G36370,Chr1,13696042,13698739,-,2698,mRNA,mRNA,SHM7,serine hydroxymethyltransferase 7
AT1G36380,Chr1,13700765,13701632,+,868,mRNA,mRNA,,transmembrane protein
MSTRG.3440.2,Chr1,13700798,13701950,+,1153,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G36390
AT1G36390,Chr1,13701401,13703573,-,2173,mRNA,mRNA,,Co-chaperone GrpE family protein
AT1G06977,Chr1,13701971,13702749,+,779,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G36390
AT1G36441,Chr1,13728578,13729561,-,984,pseudogene,intergenic,,pseudogene
AT1G36510,Chr1,13761926,13764265,+,2340,mRNA,mRNA,,Nucleic acid-binding proteins superfamily
AT1G36580,Chr1,13816459,13818556,-,2098,mRNA,mRNA,,hypothetical protein
AT1G36595,Chr1,13824802,13825075,-,274,pseudogene,intergenic,,pseudogene
AT1G36622,Chr1,13835620,13836954,-,1335,mRNA,mRNA,,transmembrane protein
AT1G36623,Chr1,13835832,13836121,+,290,mRNA,mRNA,,hypothetical protein
MSTRG.3448.1,Chr1,13838316,13839168,-,853,lncRNA,intergenic,NA,NA
AT1G06983,Chr1,13838401,13839087,-,687,lncRNA,intergenic,,
AT1G36627,Chr1,13848529,13849091,-,563,mRNA,mRNA,,Serine/Threonine-kinase
AT1G36640,Chr1,13852958,13853687,-,730,mRNA,mRNA,,transmembrane protein
AT1G06987,Chr1,13857781,13858128,+,348,lncRNA,intergenic,,
AT1G09255,Chr1,13857788,13858898,+,1111,lncRNA,intergenic,,
AT1G36660,Chr1,13861470,13862969,-,1500,pseudogene,intergenic,,pseudogene
AT1G36675,Chr1,13867568,13869490,+,1923,mRNA,mRNA,,glycine-rich protein
AT1G06993,Chr1,13872214,13872516,+,303,lncRNA,intergenic,,
AT1G36700,Chr1,13877990,13878553,-,564,pseudogene,intergenic,,pseudogene
AT1G36710,Chr1,13880249,13881542,+,1294,pseudogene,intergenic,,pseudogene
MSTRG.3449.1,Chr1,13890483,13890651,+,169,lncRNA,intergenic,NA,NA
AT1G36730,Chr1,13898210,13900831,-,2622,mRNA,mRNA,,Translation initiation factor IF2/IF5
AT1G36745,Chr1,13911137,13911679,+,543,mRNA,mRNA,,hypothetical protein
AT1G36756,Chr1,13917331,13917816,+,486,mRNA,mRNA,,hypothetical protein
AT1G36880,Chr1,13961890,13963772,-,1883,pseudogene,intergenic,,pseudogene
AT1G36920,Chr1,13982995,13984424,+,1430,mRNA,mRNA,,hypothetical protein
AT1G36922,Chr1,13984576,13985480,+,905,mRNA,mRNA,,hypothetical protein
AT1G36925,Chr1,13986436,13987289,+,854,mRNA,mRNA,,hypothetical protein
AT1G06997,Chr1,13987861,13988496,-,636,lncRNA,intergenic,,
AT1G36940,Chr1,14003819,14005502,+,1684,mRNA,mRNA,,myotubularin-like protein
AT1G36942,Chr1,14006147,14006341,-,195,mRNA,mRNA,,transmembrane protein
AT1G36950,Chr1,14009673,14010822,-,1150,mRNA,mRNA,,RING/U-box superfamily protein
AT1G36960,Chr1,14014796,14015508,+,713,mRNA,mRNA,,hypothetical protein
AT1G36970,Chr1,14016385,14018356,-,1972,mRNA,mRNA,,transmembrane protein%2C putative (DUF1985)
AT1G36980,Chr1,14024634,14027040,+,2407,mRNA,mRNA,,transmembrane 50A-like protein
AT1G36990,Chr1,14027222,14030500,-,3279,mRNA,mRNA,,C-jun-amino-terminal kinase-interacting protein
AT1G36992,Chr1,14029923,14030768,+,846,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G36990
AT1G37000,Chr1,14036038,14037145,+,1108,mRNA,mRNA,,Beta-galactosidase related protein
AT1G37010,Chr1,14040918,14041227,+,310,mRNA,mRNA,,spindle pole body component
AT1G07003,Chr1,14041693,14042042,+,350,lncRNA,intergenic,,
AT1G37020,Chr1,14046735,14049742,+,3008,mRNA,mRNA,,Cysteine proteinases superfamily protein
AT1G09265,Chr1,14076696,14076890,+,195,lncRNA,intergenic,,
AT1G07007,Chr1,14113268,14113653,-,386,lncRNA,intergenic,,
AT1G37113,Chr1,14136413,14138703,+,2291,mRNA,mRNA,,hypothetical protein
AT1G07013,Chr1,14155106,14155969,-,864,lncRNA,intergenic,,
AT1G37130,Chr1,14158452,14161938,+,3487,mRNA,mRNA,NIA2,nitrate reductase 2
MSTRG.3457.1,Chr1,14159363,14159652,-,290,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G37130
MSTRG.3458.1,Chr1,14160093,14160911,-,819,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G37130
AT1G37140,Chr1,14170351,14172106,-,1756,mRNA,mRNA,MCT1,MEI2 C-terminal RRM only like 1
AT1G37150,Chr1,14174798,14178034,-,3237,mRNA,mRNA,HCS2,holocarboxylase synthetase 2
AT1G07017,Chr1,14196021,14196685,+,665,lncRNA,intergenic,,
AT1G07023,Chr1,14283371,14283751,-,381,lncRNA,intergenic,,
AT1G07027,Chr1,14285892,14286203,-,312,lncRNA,intergenic,,
AT1G38065,Chr1,14289533,14292098,-,2566,mRNA,mRNA,,O-fucosyltransferase family protein
AT1G38131,Chr1,14292996,14296253,-,3258,mRNA,mRNA,,O-fucosyltransferase family protein
MSTRG.3462.1,Chr1,14484447,14484662,-,216,lncRNA,intergenic,NA,NA
AT1G38790,Chr1,14543277,14544528,-,1252,mRNA,mRNA,,hypothetical protein
MSTRG.3463.1,Chr1,14691435,14691552,+,118,lncRNA,intergenic,NA,NA
AT1G39060,Chr1,14701718,14703805,+,2088,mRNA,mRNA,,hypothetical protein
AT1G39070,Chr1,14733525,14745983,+,12459,mRNA,mRNA,,hypothetical protein
AT1G40069,Chr1,14860340,14860514,+,175,pseudogene,intergenic,,pseudogene
AT1G40078,Chr1,14912940,14915024,+,2085,pseudogene,intergenic,,pseudogene
AT1G40079,Chr1,14915764,14916351,+,588,pseudogene,intergenic,,pseudogene
AT1G40083,Chr1,14922423,14923055,-,633,mRNA,mRNA,,hypothetical protein
AT1G40086,Chr1,14930278,14932360,+,2083,mRNA,mRNA,,hypothetical protein
AT1G40087,Chr1,14999615,15001868,-,2254,mRNA,mRNA,,Plant transposase (Ptta/En/Spm family)
AT1G40089,Chr1,15003026,15004333,-,1308,pseudogene,intergenic,,pseudogene
AT1G40090,Chr1,15013792,15014764,+,973,mRNA,mRNA,,hypothetical protein
AT1G40104,Chr1,15081952,15085893,+,3942,mRNA,mRNA,,hypothetical protein
MSTRG.3464.1,Chr1,15091708,15091872,-,165,lncRNA,intergenic,NA,NA
MSTRG.3465.1,Chr1,15195348,15195505,-,158,lncRNA,intergenic,NA,NA
AT1G40129,Chr1,15240553,15244036,+,3484,mRNA,mRNA,,hypothetical protein
AT1G40390,Chr1,15432576,15434674,-,2099,mRNA,mRNA,,DNAse I-like superfamily protein
AT1G41820,Chr1,15582423,15585143,-,2721,mRNA,mRNA,,hypothetical protein
AT1G41830,Chr1,15603568,15607966,-,4399,mRNA,mRNA,SKS6,SKU5-similar 6
MSTRG.3467.1,Chr1,15616490,15616651,+,162,lncRNA,intergenic,NA,NA
AT1G41880,Chr1,15650635,15652542,-,1908,mRNA,mRNA,,Ribosomal protein L35Ae family protein
AT1G41890,Chr1,15652635,15656463,-,3829,pseudogene,intergenic,,pseudogene
AT1G41920,Chr1,15680978,15684487,-,3510,mRNA,mRNA,,General transcription factor 2-related zinc finger protein
AT1G42080,Chr1,15716714,15717169,-,456,mRNA,mRNA,,hypothetical protein
AT1G42090,Chr1,15720083,15720696,-,614,pseudogene,intergenic,,pseudogene
AT1G42120,Chr1,15730615,15730686,-,72,canonical ncRNA,tRNA,,
AT1G42190,Chr1,15761082,15761276,+,195,mRNA,mRNA,,GAG/POL/ENV polyprotein
AT1G07117,Chr1,15884800,15885225,-,426,lncRNA,intergenic,,
AT1G42430,Chr1,15891281,15894576,+,3296,mRNA,mRNA,,inactive purple acid phosphatase-like protein
AT1G42440,Chr1,15895197,15900105,-,4909,mRNA,mRNA,,pre-rRNA-processing TSR1-like protein
AT1G09455,Chr1,15926190,15926608,+,419,lncRNA,intergenic,,
AT1G42470,Chr1,15926676,15935529,+,8854,mRNA,mRNA,,Patched family protein
AT1G42480,Chr1,15936156,15938974,+,2819,mRNA,mRNA,,TLR4 regulator/MIR-interacting MSAP protein
AT1G07123,Chr1,15942120,15942437,+,318,lncRNA,intergenic,,
AT1G07127,Chr1,15943616,15943865,+,250,lncRNA,intergenic,,
AT1G07133,Chr1,15943877,15944259,-,383,lncRNA,intergenic,,
AT1G42490,Chr1,15945877,15946985,-,1109,pseudogene,intergenic,,pseudogene
AT1G42525,Chr1,15966381,15968239,+,1859,mRNA,mRNA,,cysteine proteinase superfamily protein
AT1G42540,Chr1,15973054,15976813,+,3760,mRNA,mRNA,GLR3.3,glutamate receptor 3.3
AT1G42550,Chr1,15976805,15979952,+,3148,mRNA,mRNA,PMI1,plastid movement impaired1
AT1G42560,Chr1,15980135,15983571,-,3437,mRNA,mRNA,MLO9,Seven transmembrane MLO family protein
AT1G42570,Chr1,15988784,15990469,+,1686,pseudogene,intergenic,,pseudogene
AT1G42635,Chr1,16027028,16027570,-,543,pseudogene,intergenic,,pseudogene
AT1G42615,Chr1,16037606,16038455,+,850,mRNA,mRNA,,TATA box-binding protein associated factor RNA polymerase I subunit B
AT1G42680,Chr1,16041656,16042880,+,1225,mRNA,mRNA,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G42700,Chr1,16066931,16067592,+,662,mRNA,mRNA,,hypothetical protein
AT1G42710,Chr1,16077592,16078567,-,976,mRNA,mRNA,,General transcription factor 2-related zinc finger protein
AT1G09465,Chr1,16114947,16115486,+,540,lncRNA,intergenic,,
AT1G09475,Chr1,16115430,16116111,-,682,lncRNA,intergenic,,
MSTRG.3478.3,Chr1,16115457,16116127,-,671,lncRNA,intergenic,NA,NA
AT1G42960,Chr1,16125743,16127298,+,1556,mRNA,mRNA,,inner membrane localized protein
AT1G42970,Chr1,16127353,16129895,+,2543,mRNA,mRNA,GAPB,glyceraldehyde-3-phosphate dehydrogenase B subunit
AT1G07143,Chr1,16131687,16132318,+,632,lncRNA,intergenic,,
AT1G42980,Chr1,16133286,16135587,+,2302,mRNA,mRNA,,Actin-binding FH2 (formin homology 2) family protein
AT1G42990,Chr1,16135723,16137463,-,1741,mRNA,mRNA,BZIP60,basic region/leucine zipper motif 60
AT1G43000,Chr1,16140526,16141792,+,1267,mRNA,mRNA,,PLATZ transcription factor family protein
AT1G43005,Chr1,16151095,16152240,+,1146,mRNA,mRNA,,F-box/associated interaction domain protein
